Statistical profiling result from isolate-0x103000000-v8.log, (27943 ticks, 3546 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      7    0.0%    0.0%  Stub: CallApiCallbackStub {2}
      7    0.0%    0.0%  LazyCompile: ~socketOnWrap _http_server.js:690:22
      7    0.0%    0.0%  LazyCompile: ~module.exports /Users/Axel/Development/router/lib/filters/parameter.js:5:18
      7    0.0%    0.0%  LazyCompile: ~OutgoingMessage _http_outgoing.js:71:25
      7    0.0%    0.0%  LazyCompile: *find native array.js:855:46
      6    0.0%    0.0%  LazyCompile: ~Readable.read _stream_readable.js:377:35
      6    0.0%    0.0%  LazyCompile: *parserForArrayFormat /Users/Axel/Development/router/node_modules/query-string/index.js:41:30
      6    0.0%    0.0%  LazyCompile: *exports.unenroll timers.js:367:45
      6    0.0%    0.0%  LazyCompile: *endReadableNT _stream_readable.js:1101:23
      6    0.0%    0.0%  Builtin: StringPrototypeReplace
      6    0.0%    0.0%  Builtin: LoadICProtoArray
      6    0.0%    0.0%  Builtin: HandleApiCall
      5    0.0%    0.0%  Stub: RecordWriteStub {8}
      5    0.0%    0.0%  LazyCompile: ~required /Users/Axel/Development/router/lib/objects/validation.js:12:24
      5    0.0%    0.0%  LazyCompile: ~parserOnIncoming _http_server.js:585:26
      5    0.0%    0.0%  LazyCompile: ~flow _stream_readable.js:855:14
      5    0.0%    0.0%  LazyCompile: ~exports.enroll timers.js:390:26
      5    0.0%    0.0%  LazyCompile: ~emit events.js:138:44
      5    0.0%    0.0%  LazyCompile: ~_addHeaderLine _http_incoming.js:286:24
      5    0.0%    0.0%  LazyCompile: ~Socket.setTimeout net.js:365:39
      5    0.0%    0.0%  LazyCompile: *afterWrite _stream_writable.js:473:20
      5    0.0%    0.0%  LazyCompile: *<anonymous> native typedarray.js:937:48
      5    0.0%    0.0%  Builtin: JsonStringify
      4    0.0%    0.0%  LazyCompile: ~writeOrBuffer _stream_writable.js:362:23
      4    0.0%    0.0%  LazyCompile: ~resume_ _stream_readable.js:831:17
      4    0.0%    0.0%  LazyCompile: ~resOnFinish _http_server.js:545:21
      4    0.0%    0.0%  LazyCompile: ~parserOnHeadersComplete _http_common.js:62:33
      4    0.0%    0.0%  LazyCompile: ~onCorkedFinish _stream_writable.js:655:24
      4    0.0%    0.0%  LazyCompile: ~nextTick internal/process/next_tick.js:146:20
      4    0.0%    0.0%  LazyCompile: ~find native array.js:855:46
      4    0.0%    0.0%  LazyCompile: ~append internal/linkedlist.js:29:16
      4    0.0%    0.0%  LazyCompile: *onwrite _stream_writable.js:445:17
      4    0.0%    0.0%  Builtin: ClassOf
      3    0.0%    0.0%  Stub: RecordWriteStub {1}
      3    0.0%    0.0%  Stub: CallApiCallbackStub {1}
      3    0.0%    0.0%  LazyCompile: ~shift internal/process/next_tick.js:52:10
      3    0.0%    0.0%  LazyCompile: ~remove internal/linkedlist.js:15:16
      3    0.0%    0.0%  LazyCompile: ~read _http_incoming.js:91:47
      3    0.0%    0.0%  LazyCompile: ~parserForArrayFormat /Users/Axel/Development/router/node_modules/query-string/index.js:41:30
      3    0.0%    0.0%  LazyCompile: ~insert timers.js:174:16
      3    0.0%    0.0%  LazyCompile: ~afterWrite _stream_writable.js:473:20
      3    0.0%    0.0%  LazyCompile: ~_dump _http_incoming.js:313:49
      3    0.0%    0.0%  LazyCompile: ~InnerArrayFind native array.js:843:24
      3    0.0%    0.0%  LazyCompile: *remove internal/linkedlist.js:15:16
      3    0.0%    0.0%  LazyCompile: *addListener events.js:257:58
      3    0.0%    0.0%  Builtin: StringPrototypeTrim
      3    0.0%    0.0%  Builtin: ObjectAssign
      2    0.0%    0.0%  LazyCompile: ~write_ _http_outgoing.js:625:16
      2    0.0%    0.0%  LazyCompile: ~writeHead _http_server.js:196:19
      2    0.0%    0.0%  LazyCompile: ~reuse timers.js:350:15
      2    0.0%    0.0%  LazyCompile: ~removeListener events.js:306:28
      2    0.0%    0.0%  LazyCompile: ~popAsyncIds internal/async_hooks.js:362:21
      2    0.0%    0.0%  LazyCompile: ~onParserExecuteCommon _http_server.js:499:31
      2    0.0%    0.0%  LazyCompile: ~exports.unenroll timers.js:367:45
      2    0.0%    0.0%  LazyCompile: ~endReadable _stream_readable.js:1092:21
      2    0.0%    0.0%  LazyCompile: ~end _http_outgoing.js:731:45
      2    0.0%    0.0%  LazyCompile: ~detachSocket _http_server.js:179:62
      2    0.0%    0.0%  LazyCompile: ~_flush _http_outgoing.js:822:51
      2    0.0%    0.0%  LazyCompile: ~ServerResponse _http_server.js:120:24
      2    0.0%    0.0%  LazyCompile: ~Readable.on _stream_readable.js:783:33
      2    0.0%    0.0%  LazyCompile: *_unrefTimer net.js:286:52
      2    0.0%    0.0%  Builtin: JSConstructStubApi
      1    0.0%    0.0%  Stub: StoreFastElementStub {2}
      1    0.0%    0.0%  Stub: StoreFastElementStub {1}
      1    0.0%    0.0%  Stub: StoreFastElementStub
      1    0.0%    0.0%  Stub: StoreBufferOverflowStub
      1    0.0%    0.0%  Stub: RecordWriteStub {9}
      1    0.0%    0.0%  Script: ~<anonymous> internal/encoding.js:1:11
      1    0.0%    0.0%  LazyCompile: ~runInThisContext bootstrap_node.js:556:28
      1    0.0%    0.0%  LazyCompile: ~push internal/process/next_tick.js:64:16
      1    0.0%    0.0%  LazyCompile: ~push internal/process/next_tick.js:47:9
      1    0.0%    0.0%  LazyCompile: ~processImmediate timers.js:692:26
      1    0.0%    0.0%  LazyCompile: ~parserOnMessageComplete _http_common.js:141:33
      1    0.0%    0.0%  LazyCompile: ~onwriteDrain _stream_writable.js:484:22
      1    0.0%    0.0%  LazyCompile: ~onParserExecute _http_server.js:476:25
      1    0.0%    0.0%  LazyCompile: ~needFinish _stream_writable.js:599:20
      1    0.0%    0.0%  LazyCompile: ~keys.find.key /Users/Axel/Development/router/lib/filters/parameter.js:9:27
      1    0.0%    0.0%  LazyCompile: ~getDefaultTriggerAsyncId internal/async_hooks.js:264:34
      1    0.0%    0.0%  LazyCompile: ~exports.validate /Users/Axel/Development/router/lib/objects/validation.js:40:20
      1    0.0%    0.0%  LazyCompile: ~exports.parseUrl /Users/Axel/Development/router/node_modules/query-string/index.js:221:20
      1    0.0%    0.0%  LazyCompile: ~exports._unrefActive timers.js:164:32
      1    0.0%    0.0%  LazyCompile: ~endReadableNT _stream_readable.js:1101:23
      1    0.0%    0.0%  LazyCompile: ~emitBeforeScript internal/async_hooks.js:314:26
      1    0.0%    0.0%  LazyCompile: ~dirname path.js:1270:28
      1    0.0%    0.0%  LazyCompile: ~debugs.(anonymous function) util.js:258:29
      1    0.0%    0.0%  LazyCompile: ~assignSocket _http_server.js:169:62
      1    0.0%    0.0%  LazyCompile: ~_writeRaw _http_outgoing.js:246:19
      1    0.0%    0.0%  LazyCompile: ~_tickCallback internal/process/next_tick.js:92:25
      1    0.0%    0.0%  LazyCompile: ~_resolve /Users/Axel/Development/router/index.js:111:23
      1    0.0%    0.0%  LazyCompile: ~Writable.write _stream_writable.js:268:36
      1    0.0%    0.0%  LazyCompile: ~TickObject internal/process/next_tick.js:124:16
      1    0.0%    0.0%  LazyCompile: ~Stream internal/streams/legacy.js:6:16
      1    0.0%    0.0%  LazyCompile: ~Socket._writeGeneric net.js:687:42
      1    0.0%    0.0%  LazyCompile: ~Readable.resume _stream_readable.js:814:37
      1    0.0%    0.0%  LazyCompile: ~Module._resolveLookupPaths module.js:351:38
      1    0.0%    0.0%  LazyCompile: ~IncomingMessage _http_incoming.js:38:25
      1    0.0%    0.0%  LazyCompile: ~<anonymous> _http_common.js:164:53
      1    0.0%    0.0%  LazyCompile: *onFinish _http_outgoing.js:727:18
      1    0.0%    0.0%  LazyCompile: *nop _stream_writable.js:40:13
      1    0.0%    0.0%  LazyCompile: *emitPromiseRejectionWarnings internal/process/promises.js:86:38
      1    0.0%    0.0%  LazyCompile: *clearBuffer _stream_writable.js:492:21
      1    0.0%    0.0%  LazyCompile: *byteLength buffer.js:496:20
      1    0.0%    0.0%  LazyCompile: *Writable.write _stream_writable.js:268:36
      1    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      1    0.0%    0.0%  Builtin: LoadIC_Noninlined
      1    0.0%    0.0%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      1    0.0%    0.0%  Builtin: InterpreterPushArgsThenConstruct
      1    0.0%    0.0%  Builtin: InterpreterPushArgsThenCall
      1    0.0%    0.0%  Builtin: FastArrayPop
      1    0.0%    0.0%  Builtin: Construct {1}
      1    0.0%    0.0%  Builtin: CallForwardVarargs
      1    0.0%    0.0%  Builtin: AsyncFunctionAwaitResolveClosure

 [C++]:
   ticks  total  nonlib   name
   2385    8.5%    8.7%  T _task_info
   1288    4.6%    4.7%  T _http_parser_execute
    897    3.2%    3.3%  T _thread_policy_get
    449    1.6%    1.6%  T ___fcntl_nocancel
    335    1.2%    1.2%  T v8::internal::Runtime_StringSplit(int, v8::internal::Object**, v8::internal::Isolate*)
    260    0.9%    0.9%  t v8::internal::(anonymous namespace)::Invoke(v8::internal::Isolate*, bool, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Object>, int, v8::internal::Handle<v8::internal::Object>*, v8::internal::Handle<v8::internal::Object>, v8::internal::Execution::MessageHandling)
    165    0.6%    0.6%  t _tiny_malloc_should_clear
    157    0.6%    0.6%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<false>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
    142    0.5%    0.5%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
    140    0.5%    0.5%  t _parse_url_char
    138    0.5%    0.5%  t __malloc_initialize
    122    0.4%    0.4%  T v8::Function::Call(v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)
    117    0.4%    0.4%  T v8::internal::Isolate::RunMicrotasksInternal()
    117    0.4%    0.4%  T node::InternalCallbackScope::Close()
    112    0.4%    0.4%  T ___pthread_init
    110    0.4%    0.4%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
    110    0.4%    0.4%  T v8::internal::FastGetOwnValuesOrEntries(v8::internal::Isolate*, v8::internal::Handle<v8::internal::JSReceiver>, bool, v8::internal::Handle<v8::internal::FixedArray>*)
    108    0.4%    0.4%  T v8::Object::Get(unsigned int)
    101    0.4%    0.4%  T v8::HandleScope::Initialize(v8::Isolate*)
